timestamp,ssid,rssi,macaddress
0,Wi-Fi.HK via HKU,-54,30:C5:0F:68:9E:23
0,Wi-Fi.HK via HKU,-55,30:C5:0F:2A:75:F3
0,Wi-Fi.HK via HKU,-64,30:C5:0F:68:8E:E3
0,Wi-Fi.HK via HKU,-64,30:C5:0F:68:94:63
0,Wi-Fi.HK via HKU,-71,30:C5:0F:68:9D:63
0,Wi-Fi.HK via HKU,-80,30:C5:0F:68:93:E3
0,Wi-Fi.HK via HKU,-80,30:C5:0F:68:82:E3
0,Wi-Fi.HK via HKU,-83,30:C5:0F:2A:74:33
2000,Wi-Fi.HK via HKU,-52,30:C5:0F:68:9E:23
2000,Wi-Fi.HK via HKU,-58,30:C5:0F:2A:75:F3
2000,Wi-Fi.HK via HKU,-61,30:C5:0F:68:8E:E3
2000,Wi-Fi.HK via HKU,-61,30:C5:0F:68:9E:63
2000,Wi-Fi.HK via HKU,-67,30:C5:0F:68:94:63
2000,Wi-Fi.HK via HKU,-70,30:C5:0F:68:8D:E3
2000,Wi-Fi.HK via HKU,-72,30:C5:0F:68:9D:63
2000,Wi-Fi.HK via HKU,-75,30:C5:0F:2A:8F:B3
4000,Wi-Fi.HK via HKU,-52,30:C5:0F:68:9E:23
4000,Wi-Fi.HK via HKU,-59,30:C5:0F:2A:75:F3
4000,Wi-Fi.HK via HKU,-64,30:C5:0F:68:8E:E3
4000,Wi-Fi.HK via HKU,-66,30:C5:0F:68:9E:63
4000,Wi-Fi.HK via HKU,-68,30:C5:0F:68:9D:63
4000,Wi-Fi.HK via HKU,-70,30:C5:0F:68:9E:A3
4000,Wi-Fi.HK via HKU,-71,30:C5:0F:68:94:63
4000,Wi-Fi.HK via HKU,-72,30:C5:0F:2A:8F:B3
4000,Wi-Fi.HK via HKU,-82,30:C5:0F:68:82:E3
6000,Wi-Fi.HK via HKU,-56,30:C5:0F:68:9E:23
6000,Wi-Fi.HK via HKU,-59,30:C5:0F:2A:75:F3
6000,Wi-Fi.HK via HKU,-71,30:C5:0F:68:94:63
6000,Wi-Fi.HK via HKU,-72,30:C5:0F:68:9D:63
6000,Wi-Fi.HK via HKU,-73,30:C5:0F:2A:8F:B3
6000,Wi-Fi.HK via HKU,-75,30:C5:0F:68:93:E3
6000,Wi-Fi.HK via HKU,-81,30:C5:0F:68:82:E3
6000,Wi-Fi.HK via HKU,-84,30:C5:0F:68:9A:63
6000,Wi-Fi.HK via HKU,-89,30:C5:0F:2A:73:F3
